transaction_id,customer_id,purchase_date,purchase_amount
T10000,C1000,2023-03-04,75.98
T10001,C1000,2022-05-31,3.04
T10002,C1001,2022-12-02,281.04
T10003,C1001,2023-01-10,17.72
T10004,C1001,2022-12-07,9.86
T10005,C1001,2024-02-15,16.98
T10006,C1002,2023-06-01,330.63
T10007,C1002,2022-06-24,117.97
T10008,C1002,2022-11-07,384.58
T10009,C1002,2023-03-03,114.96
T10010,C1002,2022-04-24,27.99
T10011,C1002,2023-06-22,203.18
T10012,C1003,2023-08-11,12.0
T10013,C1003,2022-12-11,116.97
T10014,C1003,2024-03-11,91.78
T10015,C1003,2022-10-14,107.55
T10016,C1003,2022-02-22,109.95
T10017,C1003,2022-12-27,11.27
T10018,C1003,2022-08-08,17.35
T10019,C1003,2023-12-05,4.94
T10020,C1004,2022-06-10,52.24
T10021,C1004,2023-11-19,139.61
T10022,C1004,2024-01-27,83.71
T10023,C1004,2023-05-04,11.55
T10024,C1004,2023-09-02,51.78
T10025,C1004,2023-05-09,259.93
T10026,C1004,2022-01-19,164.95
T10027,C1004,2023-08-17,210.28
T10028,C1004,2022-10-06,57.2
T10029,C1005,2022-12-10,35.22
T10030,C1006,2023-08-24,39.81
T10031,C1006,2022-03-06,45.64
T10032,C1006,2023-12-12,82.88
T10033,C1006,2024-04-07,79.52
T10034,C1006,2023-02-21,27.12
T10035,C1006,2023-05-12,58.77
T10036,C1006,2022-04-12,7.6
T10037,C1007,2023-09-14,102.88
T10038,C1007,2024-02-16,47.77
T10039,C1007,2024-03-04,302.57
T10040,C1008,2023-03-30,245.62
T10041,C1008,2022-08-09,41.74
T10042,C1009,2022-10-31,86.79
T10043,C1009,2022-10-27,64.76
T10044,C1009,2022-02-12,144.77
T10045,C1009,2022-11-22,137.39
T10046,C1009,2022-12-30,311.28
T10047,C1010,2023-02-11,56.36
T10048,C1010,2022-12-02,104.26
T10049,C1010,2022-05-04,309.36
T10050,C1010,2024-03-14,261.78
T10051,C1010,2024-02-22,21.96
T10052,C1011,2024-02-26,10.69
T10053,C1011,2023-01-08,33.53
T10054,C1011,2023-06-23,265.36
T10055,C1011,2022-06-05,77.47
T10056,C1011,2022-05-24,9.39
T10057,C1011,2023-11-01,125.93
T10058,C1012,2023-08-12,53.37
T10059,C1013,2022-12-16,19.99
T10060,C1013,2022-12-17,196.19
T10061,C1013,2022-02-08,74.48
T10062,C1013,2023-08-06,35.0
T10063,C1013,2022-08-29,83.77
T10064,C1013,2022-10-25,249.8
T10065,C1013,2022-03-25,66.08
T10066,C1013,2024-02-14,169.15
T10067,C1013,2022-06-21,4.44
T10068,C1014,2023-07-13,302.42
T10069,C1014,2022-04-28,72.4
T10070,C1014,2022-08-08,25.89
T10071,C1014,2023-06-05,104.02
T10072,C1014,2023-01-13,44.75
T10073,C1014,2023-11-13,230.28
T10074,C1014,2023-12-21,81.34
T10075,C1014,2024-05-08,151.65
T10076,C1014,2022-02-19,131.66
T10077,C1014,2023-09-04,55.12
T10078,C1015,2024-05-06,10.04
T10079,C1015,2023-11-07,16.22
T10080,C1015,2023-03-15,88.34
T10081,C1015,2023-11-18,26.82
T10082,C1015,2022-04-18,198.63
T10083,C1015,2023-09-23,76.65
T10084,C1015,2023-10-24,2.39
T10085,C1015,2023-10-17,26.17
T10086,C1015,2023-03-31,79.12
T10087,C1015,2023-10-12,29.69
T10088,C1016,2022-09-11,15.29
T10089,C1016,2022-11-16,14.67
T10090,C1016,2023-08-20,112.65
T10091,C1016,2023-07-08,55.9
T10092,C1016,2022-06-16,128.92
T10093,C1016,2023-04-04,473.94
T10094,C1016,2023-12-01,170.76
T10095,C1016,2023-08-03,128.86
T10096,C1016,2023-07-08,235.94
T10097,C1017,2024-01-14,103.65
T10098,C1017,2023-11-07,21.3
T10099,C1017,2023-10-10,45.72
T10100,C1017,2022-03-11,43.85
T10101,C1018,2024-02-20,73.2
T10102,C1018,2023-10-04,110.75
T10103,C1018,2023-03-04,26.62
T10104,C1018,2022-05-29,31.63
T10105,C1019,2023-07-16,113.98
T10106,C1019,2024-03-22,39.21
T10107,C1019,2022-09-16,21.11
T10108,C1019,2022-05-10,513.95
T10109,C1019,2024-02-09,45.09
T10110,C1019,2024-03-13,131.17
T10111,C1019,2024-03-08,40.58
T10112,C1019,2023-10-24,82.62
T10113,C1020,2023-03-29,19.27
T10114,C1020,2022-10-14,140.58
T10115,C1020,2022-11-07,76.75
T10116,C1020,2023-03-22,54.94
T10117,C1021,2022-01-12,42.71
T10118,C1021,2023-10-10,158.69
T10119,C1021,2023-10-18,48.21
T10120,C1021,2022-10-06,50.97
T10121,C1021,2022-04-14,2.02
T10122,C1021,2024-05-21,146.36
T10123,C1021,2022-11-17,184.54
T10124,C1022,2022-03-25,97.71
T10125,C1022,2023-04-01,140.76
T10126,C1022,2022-06-10,93.77
T10127,C1022,2023-04-05,152.34
T10128,C1022,2024-01-08,6.52
T10129,C1023,2023-04-26,25.79
T10130,C1023,2024-01-19,44.65
T10131,C1023,2022-12-07,42.51
T10132,C1023,2024-01-31,80.7
T10133,C1024,2022-06-29,32.81
T10134,C1024,2023-10-28,91.78
T10135,C1024,2022-11-07,17.65
T10136,C1025,2022-05-23,484.83
T10137,C1025,2022-04-11,49.6
T10138,C1025,2022-01-12,266.78
T10139,C1025,2022-02-11,77.59
T10140,C1025,2023-03-05,47.9
T10141,C1025,2022-08-04,76.03
T10142,C1026,2022-03-08,156.08
T10143,C1026,2023-06-10,8.44
T10144,C1026,2023-02-09,2.32
T10145,C1026,2024-05-08,118.73
T10146,C1026,2023-04-11,315.41
T10147,C1026,2024-02-07,269.91
T10148,C1027,2024-03-03,65.27
T10149,C1027,2022-10-16,256.08
T10150,C1028,2022-04-20,228.54
T10151,C1029,2023-04-28,50.86
T10152,C1029,2022-01-25,109.75
T10153,C1029,2023-04-27,7.06
T10154,C1029,2023-06-21,26.47
T10155,C1030,2023-10-20,32.54
T10156,C1030,2023-03-23,102.39
T10157,C1030,2024-05-10,1.78
T10158,C1030,2022-05-10,105.04
T10159,C1031,2022-10-14,6.33
T10160,C1031,2023-04-12,21.29
T10161,C1031,2022-12-11,5.99
T10162,C1032,2022-09-10,96.63
T10163,C1032,2023-04-08,411.53
T10164,C1033,2022-04-09,7.76
T10165,C1033,2022-06-05,36.14
T10166,C1033,2022-09-20,117.82
T10167,C1034,2022-09-17,100.29
T10168,C1035,2024-02-24,26.48
T10169,C1035,2023-01-15,36.56
T10170,C1035,2024-03-30,106.63
T10171,C1035,2023-02-26,55.53
T10172,C1035,2022-03-04,157.07
T10173,C1035,2023-12-04,59.74
T10174,C1035,2023-04-28,45.85
T10175,C1035,2022-04-02,65.71
T10176,C1036,2024-01-11,48.95
T10177,C1036,2023-10-07,1.11
T10178,C1036,2023-01-21,14.36
T10179,C1036,2023-02-09,1.94
T10180,C1036,2023-08-14,87.26
T10181,C1036,2023-04-16,14.75
T10182,C1036,2023-02-27,96.48
T10183,C1037,2022-08-30,99.24
T10184,C1037,2023-11-24,161.72
T10185,C1037,2022-06-22,4.36
T10186,C1037,2023-04-10,11.62
T10187,C1037,2023-12-01,103.87
T10188,C1038,2022-11-04,30.93
T10189,C1038,2023-09-21,66.99
T10190,C1038,2023-12-09,200.0
T10191,C1038,2023-09-16,133.7
T10192,C1038,2024-01-14,166.43
T10193,C1039,2023-02-26,49.82
T10194,C1039,2023-07-08,222.64
T10195,C1039,2022-04-15,10.78
T10196,C1039,2022-04-30,37.89
T10197,C1040,2022-05-10,57.55
T10198,C1041,2022-01-10,266.38
T10199,C1042,2024-02-28,174.37
T10200,C1042,2024-01-29,107.69
T10201,C1042,2023-12-27,101.24
T10202,C1042,2022-03-20,220.18
T10203,C1042,2024-05-04,73.07
T10204,C1042,2023-04-12,11.17
T10205,C1042,2023-03-25,58.57
T10206,C1042,2022-01-08,4.26
T10207,C1043,2022-03-28,125.99
T10208,C1043,2023-09-13,162.01
T10209,C1043,2023-04-28,1.22
T10210,C1043,2023-10-07,71.05
